problem,old_ms,xt_ms,now_ms,status,old_to_now,xt_to_now
1,2.0,1.0,1.8,OK,1.11,0.56
2,1.0,1.0,1.6,OK,0.62,0.62
3,1.0,0.0,1.5,OK,0.67,
4,2.0,1.0,1.8,OK,1.11,0.56
5,1.0,1.0,1.6,OK,0.62,0.62
6,1.0,1.0,1.5,OK,0.67,0.67
7,2.0,1.0,1.5,OK,1.33,0.67
8,1.0,1.0,1.5,OK,0.67,0.67
9,1.0,1.0,1.6,OK,0.62,0.62
10,8.0,4.0,5.2,OK,1.54,0.77
11,2.0,1.0,1.6,OK,1.25,0.62
12,13.0,15.0,15.9,OK,0.82,0.94
13,2.0,1.0,1.6,OK,1.25,0.62
14,14.0,8.0,9.4,OK,1.49,0.85
15,1.0,1.0,1.6,OK,0.62,0.62
16,1.0,1.0,1.6,OK,0.62,0.62
17,1.0,0.0,1.5,OK,0.67,
18,1.0,0.0,1.3,OK,0.77,
19,2.0,0.0,1.4,OK,1.43,
20,1.0,0.0,1.7,OK,0.59,
21,2.0,1.0,1.6,OK,1.25,0.62
22,2.0,1.0,2.0,OK,1.0,0.5
23,8.0,5.0,6.9,OK,1.16,0.72
24,1.0,1.0,1.6,OK,0.62,0.62
25,1.0,1.0,1.4,OK,0.71,0.71
26,2.0,1.0,1.6,OK,1.25,0.62
27,13.0,5.0,5.6,OK,2.32,0.89
28,2.0,1.0,1.5,OK,1.33,0.67
29,3.0,2.0,3.0,OK,1.0,0.67
30,3.0,2.0,2.9,OK,1.03,0.69
31,1.0,0.0,1.6,OK,0.62,
32,3.0,6.0,6.2,OK,0.48,0.97
33,1.0,1.0,1.6,OK,0.62,0.62
34,17.0,12.0,13.3,OK,1.28,0.9
35,5.0,3.0,3.9,OK,1.28,0.77
36,24.0,11.0,0.7,OK,34.29,15.71
37,42.0,22.0,0.8,OK,52.5,27.5
38,2.0,1.0,1.9,OK,1.05,0.53
39,2.0,1.0,2.1,OK,0.95,0.48
40,5.0,2.0,3.5,OK,1.43,0.57
41,1.0,1.0,1.4,OK,0.71,0.71
42,2.0,1.0,1.6,OK,1.25,0.62
