problem_id,baseline_ms,candidate_ms,delta_pct,accepted,correctness_pass,notes
421,5947.7,2053.9,65.47,True,True,speedup=2.896x
507,6142.3,2707.8,55.91,True,True,speedup=2.268x
540,7063.2,4974.3,29.58,True,True,speedup=1.420x
557,5290.9,889.7,83.18,True,True,speedup=5.947x
558,6937.8,1175.1,83.06,True,True,speedup=5.904x
693,6877.7,5281.6,23.2,True,True,speedup=1.302x
782,18761.0,18054.8,3.75,False,True,within noise (1.039x)
785,5569.6,942.6,83.07,True,True,speedup=5.908x
829,12319.4,17462.2,-41.84,False,True,regression=0.705x
847,11668.1,11237.6,3.66,False,True,within noise (1.038x)
910,25310.4,7158.6,71.72,True,True,speedup=3.536x
932,4637.5,135.1,97.09,True,True,speedup=34.337x
937,14406.0,4309.6,70.09,True,True,speedup=3.343x
941,14353.0,5205.0,63.74,True,True,speedup=2.758x
962,8877.1,7186.4,19.03,True,True,speedup=1.235x
971,5525.7,1980.5,64.16,True,True,speedup=2.79x
