problem,old_ms,new_ms,ratio,status,bucket,rayon,i128,u128,hashmap,pow_mod,already,next,confidence
1,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
2,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
3,1,0,,OK,fast_no_action,False,False,False,False,False,,,
4,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
5,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
6,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
7,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
8,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
9,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
10,8,4,2.0,OK,fast_no_action,False,False,False,False,False,,,
11,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
12,13,15,0.87,OK,fast_no_action,False,False,False,False,False,,,
13,2,1,2.0,OK,fast_no_action,False,False,True,False,False,,,
14,14,8,1.75,OK,fast_no_action,False,False,False,False,False,,,
15,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
16,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
17,1,0,,OK,fast_no_action,False,False,False,False,False,,,
18,1,0,,OK,fast_no_action,False,False,False,False,False,,,
19,2,0,,OK,fast_no_action,False,False,False,False,False,,,
20,1,0,,OK,fast_no_action,False,False,False,False,False,,,
21,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
22,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
23,8,5,1.6,OK,fast_no_action,False,False,False,False,False,,,
24,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
25,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
26,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
27,13,5,2.6,OK,fast_no_action,False,False,False,False,False,,,
28,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
29,3,2,1.5,OK,fast_no_action,False,False,False,False,False,,,
30,3,2,1.5,OK,fast_no_action,False,False,False,False,False,,,
31,1,0,,OK,fast_no_action,False,False,False,False,False,,,
32,3,6,0.5,OK,fast_no_action,False,False,False,False,False,,,
33,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
34,17,12,1.42,OK,fast_no_action,False,False,False,False,False,,,
35,5,3,1.67,OK,fast_no_action,False,False,False,False,False,,,
36,24,11,2.18,OK,fast_no_action,False,False,False,False,False,,,
37,42,22,1.91,OK,fast_no_action,False,False,False,False,False,,,
38,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
39,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
40,5,2,2.5,OK,fast_no_action,False,False,False,False,False,,,
41,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
42,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
43,15,10,1.5,OK,fast_no_action,False,False,False,False,False,,,
44,39,20,1.95,OK,fast_no_action,False,False,False,False,False,,,
45,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
46,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
47,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
48,2,1,2.0,OK,fast_no_action,False,False,False,False,True,,,
49,5,3,1.67,OK,fast_no_action,False,False,False,False,False,,,
50,8,4,2.0,OK,fast_no_action,False,False,False,False,False,,,
51,5,2,2.5,OK,fast_no_action,False,False,False,False,False,,,
52,16,8,2.0,OK,fast_no_action,False,False,False,False,False,,,
53,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
54,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
55,16,8,2.0,OK,fast_no_action,False,False,False,False,False,,,
56,7,3,2.33,OK,fast_no_action,False,False,False,False,False,,,
57,6,2,3.0,OK,fast_no_action,False,False,False,False,False,,,
58,63,34,1.85,OK,fast_no_action,False,False,False,False,False,,,
59,7,5,1.4,OK,fast_no_action,False,False,False,False,False,,,
60,132,62,2.13,OK,fast_no_action,False,False,False,False,False,,,
61,9,0,,OK,fast_no_action,False,False,False,False,False,,,
62,4,2,2.0,OK,fast_no_action,False,False,False,True,False,,,
63,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
64,6,2,3.0,OK,fast_no_action,False,False,False,False,False,,,
65,1,0,,OK,fast_no_action,False,False,False,False,False,,,
66,3,1,3.0,OK,fast_no_action,False,False,False,False,False,,,
67,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
68,149,61,2.44,OK,fast_no_action,False,False,False,False,False,,,
69,10,1,10.0,OK,fast_no_action,False,False,False,False,False,,,
70,5,3,1.67,OK,fast_no_action,False,False,False,False,False,,,
71,3,2,1.5,OK,fast_no_action,False,False,False,False,False,,,
72,23,7,3.29,OK,fast_no_action,False,False,False,False,False,,,
73,408,274,1.49,OK,fast_no_action,False,False,False,False,False,,,
74,30,11,2.73,OK,fast_no_action,False,False,False,False,False,,,
75,9,6,1.5,OK,fast_no_action,False,False,False,False,False,,,
76,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
77,2,0,,OK,fast_no_action,False,False,False,False,False,,,
78,17,15,1.13,OK,fast_no_action,False,False,False,False,False,,,
79,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
80,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
