problem_id,current_runtime_ms,estimated_speedup_range,estimated_time_saved_pct,confidence,bottleneck_class,notes
782,19509,2-4x,60,med,algorithmic,Sequential 100M complement-symmetry pass; atomic bitset overhead vs C byte array; parallelize symmetry pass
391,17044,2-4x,60,high,memory_bound,C uses global static arrays; Rust thread-local resizing; tune thread count vs L2/L3 cache
958,14733,2-4x,60,low,brute_force,Single-threaded exponential BFS/DFS; add rayon at top levels; iterative deepening + memoize
910,9112,10x+,90,high,algorithmic,C uses simple phi recursion (45 lines); Rust uses FxHashMap over 1.9M entries; port C approach
846,19254,1.5-2x,40,low,algorithmic,Exponential DFS cycle enumeration; already parallelized; tuning work decomposition limits
829,11685,2-4x,60,med,algorithmic,Single-threaded DFS; parallelize top-level prime enumeration with per-thread ShapeSystem
774,17424,1.5-2x,40,med,memory_bound,No parallelism; clone+alloc per MPS step; pre-allocate scratch buffers; add rayon across cores
513,9120,4-10x,75,med,algorithmic,C uses fundamentally different Mobius inversion; port O(sqrt(N)) pair approach
847,10271,2-4x,60,high,data_structure,HashMap -> FxHashMap; inner Vec allocs -> stack arrays; C uses flat open-addressing hash
962,9993,2-4x,60,med,alloc_churn,Vec per z and per v in inner loop; thread_local scratch buffers; SPF lookup vs trial division
681,14836,1.5-2x,40,med,brute_force,Uneven rayon workload from highly-composite numbers; per-divisor-pair strategy for heavy K
558,7490,4-10x,75,high,algorithmic,BigUint allocations dominate; parallelize outer j loop with rayon (independent)
937,6190,10x+,90,high,algorithmic,C uses trivial k%3!=2 formula; Rust has sophisticated sieve; verify and port C approach
536,8526,2-4x,60,med,algorithmic,Single-threaded recursion; parallelize root-level prime iteration with rayon
925,8132,2-4x,60,low,algorithmic,Digit-tree DFS with u128; parallelize 10 start-digit branches per length with rayon
941,7981,2-4x,60,med,parallelizable,10M serial rank_db calls; thread_local RankScratch + rayon par_iter
737,11891,1.5-2x,40,low,brute_force,Sequential coin placement; C uses fewer sqrts; no parallelism possible; needs math shortcut
932,6244,4-10x,75,high,brute_force,Single-threaded 10^8 iterations; embarrassingly parallel; precompute digit-length bands
735,11627,1.5-2x,40,med,parallelizable,Already parallelized; tune CHUNK size; fuse compute_inner sub-loops; isqrt_f overhead
971,5968,4-10x,75,high,mod_arith,u128->u64 in pow_mod (p<2^27); rayon over 1M qualifying primes; Vec->stack array
