01.rb 	 Time: 15.626000000000001 ms  
02.rb 	 Time: 15.625 ms  
03.rb 	 Time: 31.273000000000003 ms  
04.rb 	 Time: 1433.577 ms  
05.rb 	 Time: 406.22700000000003 ms  
06.rb 	 Time: 15.656 ms  
07.rb 	 Time: 156.25 ms  
08.rb 	 Time: 31.227 ms  
09.rb 	 Time: 750.005 ms  
10.rb 	 Time: 1616.2859999999998 ms  
11.rb 	 Time: 15.604 ms  
12.rb 	 Time: 1520.121 ms  
13.rb 	 Time: 15.624 ms  
14.rb 	 Time: 26783.695000000003 ms  
15.rb 	 Time: 0.0 ms  
16.rb 	 Time: 0.0 ms  
17.rb 	 Time: 278.12 ms  
18.rb 	 Time: 15.624 ms  
19.rb 	 Time: 140.738 ms  
20.rb 	 Time: 0.0 ms  
21.rb 	 Time: 25806.186 ms  
22.rb 	 Time: 93.78 ms  
22a.rb 	 Time: 46.848 ms  
26.rb 	 Time: 15.625 ms  
27.rb 	 Time: 30821.798000000003 ms  
28.rb 	 Time: 15.604 ms  
29.rb 	 Time: 78.124 ms  
30.rb 	 Time: 3824.216 ms  
31.rb 	 Time: 38.614999999999995 ms  
32.rb 	 Time: 46771.718 ms  
33.rb 	 Time: 38.133 ms  
34.rb 	 Time: 1099.145 ms  
35b.rb 	 Time: 1332.256 ms  
36.rb 	 Time: 1878.9260000000002 ms  
36b.rb 	 Time: 1663.721 ms  
38.rb 	 Time: 1629.211 ms  
39.rb 	 Time: 686.0509999999999 ms  
48.rb 	 Time: 42.242000000000004 ms  
