problem,c_time_ms,rust_time_ms,speedup,c_answer,rust_answer,match
100,3,3,1.00,756872327473,756872327473,YES
101,3,2,1.50,37076114526,37076114526,YES
102,3,3,1.00,228,228,YES
103,3,2,1.50,20313839404245,20313839404245,YES
104,25,8,3.12,329468,329468,YES
105,30,27,1.11,73702,73702,YES
106,3,3,1.00,21384,21384,YES
107,3,2,1.50,259679,259679,YES
108,2,3,0.67,180180,180180,YES
109,3,2,1.50,38182,38182,YES
110,3,2,1.50,9350130049860600,9350130049860600,YES
111,4,4,1.00,612407567715,612407567715,YES
112,23,22,1.05,1587000,1587000,YES
113,3,2,1.50,51161058134250,51161058134250,YES
114,3,2,1.50,16475640049,16475640049,YES
115,3,3,1.00,168,168,YES
116,3,3,1.00,20492570929,20492570929,YES
117,2,5,0.40,100808458960497,100808458960497,YES
118,173,235,0.74,44680,44680,YES
119,3,2,1.50,248155780267521,248155780267521,YES
120,3,2,1.50,333082500,333082500,YES
121,3,2,1.50,2269,2269,YES
122,146,245,0.60,1582,1582,YES
123,4,3,1.33,21035,21035,YES
124,9,9,1.00,21417,21417,YES
125,122,89,1.37,2906969179,2906969179,YES
126,5,8,0.62,18522,18522,YES
127,572,323,1.77,18407904,18407904,YES
128,5,4,1.25,14516824220,14516824220,YES
129,19,18,1.06,1000023,1000023,YES
130,56,54,1.04,149253,149253,YES
131,3,3,1.00,173,173,YES
132,9,9,1.00,843296,843296,YES
133,14,11,1.27,453647705,453647705,YES
134,22,18,1.22,18613426663617118,18613426663617118,YES
135,9,11,0.82,4989,4989,YES
136,1168,1214,0.96,2544559,2544559,YES
137,3,2,1.50,1120149658760,1120149658760,YES
138,2,2,1.00,1118049290473932,1118049290473932,YES
139,493,312,1.58,10057761,10057761,YES
140,3,2,1.50,5673835352990,5673835352990,YES
141,88,68,1.29,878454337159,878454337159,YES
142,270,114,2.37,1006193,1006193,YES
143,24,25,0.96,30758397,30758397,YES
144,3,3,1.00,354,354,YES
145,158,165,0.96,608720,608720,YES
146,816,811,1.01,676333270,676333270,YES
147,3,3,1.00,846910284,846910284,YES
148,3,3,1.00,2129970655314432,2129970655314432,YES
149,77,83,0.93,52852124,52852124,YES
150,132,162,0.81,-271248680,-271248680,YES
151,3,3,1.00,0.464399,0.464399,YES
152,450,546,0.82,301,301,YES
153,3597,2998,1.20,17971254122360635,17971254122360635,YES
154,1392,4329,0.32,479742450,479742450,YES
155,3613,3330,1.08,3857447,3857447,YES
156,14,11,1.27,21295121502550,21295121502550,YES
157,3,3,1.00,53490,53490,YES
158,2,3,0.67,409511334375,409511334375,YES
159,36,32,1.12,14489159,14489159,YES
160,3,3,1.00,16576,16576,YES
161,115,61,1.89,20574308184277971,20574308184277971,YES
162,3,2,1.50,3D58725572C62302,3D58725572C62302,YES
163,3,3,1.00,343047,343047,YES
164,3,2,1.50,378158756814587,378158756814587,YES
165,1429,1053,1.36,2868868,2868868,YES
166,177,158,1.12,7130034,7130034,YES
167,2361,646,3.65,3916160068885,3916160068885,YES
168,5,4,1.25,59206,59206,YES
169,3,3,1.00,178653872807,178653872807,YES
170,288,306,0.94,9857164023,9857164023,YES
171,4,3,1.33,142989277,142989277,YES
172,71,55,1.29,227485267000992000,227485267000992000,YES
173,3,2,1.50,1572729,1572729,YES
174,10,11,0.91,209566,209566,YES
175,3,3,1.00,1,13717420,8,1,13717420,8,YES
176,3,3,1.00,96818198400000,96818198400000,YES
177,190,202,0.94,129325,129325,YES
178,3,3,1.00,126461847755,126461847755,YES
179,238,205,1.16,986262,986262,YES
180,165,195,0.85,285196020571078987,285196020571078987,YES
181,3,4,0.75,83735848679360680,83735848679360680,YES
182,672,287,2.34,399788195976,399788195976,YES
183,4,4,1.00,48861552,48861552,YES
184,73,7,10.43,1725323624056,1725323624056,YES
185,62,192,0.32,4640261571849533,4640261571849533,YES
186,106,219,0.48,2325629,2325629,YES
187,891,760,1.17,17427258,17427258,YES
188,3,2,1.50,95962097,95962097,YES
189,43,37,1.16,10834893628237824,10834893628237824,YES
190,3,2,1.50,371048281,371048281,YES
191,2,3,0.67,1918080160,1918080160,YES
192,62,42,1.48,57060635927998347,57060635927998347,YES
193,457,474,0.96,684465067343069,684465067343069,YES
194,6,6,1.00,61190912,61190912,YES
195,1026,1385,0.74,75085391,75085391,YES
196,686,739,0.93,322303240771079935,322303240771079935,YES
197,3,2,1.50,1.710637717,1.710637717,YES
198,27,18,1.50,52374425,52374425,YES
199,3,3,1.00,0.00396087,0.00396087,YES
200,16,16,1.00,229161792008,229161792008,YES
201,224,51,4.39,115039000,115039000,YES
202,3,2,1.50,1209002624,1209002624,YES
203,3,2,1.50,34029210557338,34029210557338,YES
204,45,53,0.85,2944730,2944730,YES
205,3,2,1.50,0.5731441,0.5731441,YES
206,2,2,1.00,1389019170,1389019170,YES
207,4,4,1.00,44043947822,44043947822,YES
208,338,36,9.39,331951449665644800,331951449665644800,YES
209,3,3,1.00,15964587728784,15964587728784,YES
210,169,351,0.48,1598174770174689458,1598174770174689458,YES
211,2801,3806,0.74,1922364685,1922364685,YES
212,465,468,0.99,328968937309,328968937309,YES
213,26,21,1.24,330.721154,330.721154,YES
214,2301,2132,1.08,1677366278943,1677366278943,YES
215,20,13,1.54,806844323190414,806844323190414,YES
216,5178,4888,1.06,5437849,5437849,YES
217,18,15,1.20,6273134,6273134,YES
218,2,3,0.67,0,0,YES
219,3,3,1.00,64564225042,64564225042,YES
220,4,3,1.33,139776,963904,139776,963904,YES
