problem,time_ms,ipc,cache_miss_pct,branch_miss_pct,llc_misses,l1_misses,classification,top_func,top_func_pct
846,20997,1.93,0.1,0.8,197939,8582053385,COMPUTE-BOUND,p846::dfs_cycle,99.9
782,19509,0.18,17.5,0.2,596336,3296944422,MEMORY-BOUND,rayon::iter::plumbing::bridge_producer_consumer::helper,98.2
829,17736,2.98,62.6,0.9,4593120,15112835,COMPUTE-EFFICIENT | HIGH-CACHE-MISS,p829::best_divisor::dfs,95.8
774,17424,2.46,21.3,0.6,3987505,614652046,COMPUTE-BOUND,p774::TT::reduce_left,82.2
391,17044,2.12,9.3,0.5,8365481,7895518378,COMPUTE-BOUND,rayon::iter::plumbing::bridge_producer_consumer::helper,100.0
681,14836,0.52,3.2,5.6,863738,308990647,MEMORY-BOUND | BRANCH-HEAVY,rayon::iter::plumbing::bridge_producer_consumer::helper,98.6
958,14733,1.65,39.7,1.8,43102,602994,COMPUTE-BOUND | HIGH-CACHE-MISS,compiler_builtins::int::specialized_div_rem::u128_div_rem,51.7
737,11891,0.45,49.9,0.0,19406,63021,STALLED | HIGH-CACHE-MISS,p737::main,100.0
735,11627,0.55,43.2,0.0,495576,7153709,STALLED | HIGH-CACHE-MISS,rayon::iter::plumbing::bridge_producer_consumer::helper,99.8
448,10663,1.56,27.2,0.4,19402476,238776852,COMPUTE-BOUND,p448::main::k_phi_sum,67.0
452,10529,1.52,29.5,1.0,21955,317780,COMPUTE-BOUND,compiler_builtins::int::specialized_div_rem::u128_div_rem,49.8
563,10366,1.24,48.9,4.5,76230736,1465286834,MODERATE-IPC | HIGH-CACHE-MISS | BRANCH-HEAVY,core::slice::sort::stable::quicksort::quicksort,73.2
847,10271,2.65,20.5,3.5,554517,26021550,COMPUTE-EFFICIENT | BRANCH-HEAVY,p847::solve_dp,91.4
606,10131,1.06,65.3,1.3,5734118,81972851,MODERATE-IPC | HIGH-CACHE-MISS,p606::main,60.5
949,10113,0.38,73.1,3.4,24207767,86437304,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,"hashbrown::rustc_entry::<impl hashbrown::map::HashMap<K,V,S,A>>::rustc_entry",84.2
378,10061,1.09,68.1,1.7,115549401,437024124,MODERATE-IPC | HIGH-CACHE-MISS,p378::main,99.6
962,9993,0.78,1.7,1.1,37897,242236000,STALLED,p962::factor,56.6
