problem,c_status,c_time_ms,c_answer,rust_status,rust_time_ms,rust_answer,ratio_rust_div_c,faster
1,OK,3,233168,OK,2,233168,0.67,Rust
2,OK,3,4613732,OK,1,4613732,0.33,Rust
3,OK,3,6857,OK,1,6857,0.33,Rust
4,OK,3,906609,OK,2,906609,0.67,Rust
5,OK,3,232792560,OK,1,232792560,0.33,Rust
6,OK,3,25164150,OK,1,25164150,0.33,Rust
7,OK,22,104743,OK,2,104743,0.09,Rust
8,OK,3,23514624000,OK,1,23514624000,0.33,Rust
9,OK,3,31875000,OK,1,31875000,0.33,Rust
10,OK,8,142913828922,OK,8,142913828922,1.00,~tied
11,OK,3,70600674,OK,2,70600674,0.67,Rust
12,OK,162,76576500,OK,13,76576500,0.08,Rust
13,OK,3,5537376230,OK,2,5537376230,0.67,Rust
14,OK,18,837799,OK,14,837799,0.78,~tied
15,OK,3,137846528820,OK,1,137846528820,0.33,Rust
16,OK,3,1366,OK,1,1366,0.33,Rust
17,OK,3,21124,OK,1,21124,0.33,Rust
18,OK,3,1074,OK,1,1074,0.33,Rust
19,OK,2,171,OK,2,171,1.00,~tied
20,OK,2,648,OK,1,648,0.50,Rust
21,OK,3,31626,OK,2,31626,0.67,Rust
22,OK,6,871198282,OK,2,871198282,0.33,Rust
23,OK,9,4179871,OK,8,4179871,0.89,~tied
24,OK,3,2783915460,OK,1,2783915460,0.33,Rust
25,OK,4,4782,OK,1,4782,0.25,Rust
26,OK,3,983,OK,2,983,0.67,Rust
27,OK,14,-59231,OK,13,-59231,0.93,~tied
28,OK,2,669171001,OK,2,669171001,1.00,~tied
29,OK,4,9183,OK,3,9183,0.75,~tied
30,OK,4,443839,OK,3,443839,0.75,~tied
31,OK,2,73682,OK,1,73682,0.50,Rust
32,OK,7,45228,OK,3,45228,0.43,Rust
33,OK,2,100,OK,1,100,0.50,Rust
34,OK,18,40730,OK,17,40730,0.94,~tied
35,OK,7,55,OK,5,55,0.71,~tied
36,OK,45,872187,OK,24,872187,0.53,Rust
37,OK,53,748317,OK,42,748317,0.79,~tied
38,OK,4,932718654,OK,2,932718654,0.50,Rust
39,OK,3,840,OK,2,840,0.67,Rust
40,OK,3,210,OK,5,210,1.67,C
41,OK,3,7652413,OK,1,7652413,0.33,Rust
42,OK,4,162,OK,2,162,0.50,Rust
43,OK,33,16695334890,OK,15,16695334890,0.45,Rust
44,OK,14,5482660,OK,39,5482660,2.79,C
45,OK,3,1533776805,OK,2,1533776805,0.67,Rust
46,OK,3,5777,OK,2,5777,0.67,Rust
